Level	Rule Name	Subject	Property	Value
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0000703	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0001505	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0001551	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0001913	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0001914	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0004600	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0004604	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0005600	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0005604	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0006514	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0006515	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007600	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007700	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007701	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007702	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007703	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007704	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007705	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007706	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007707	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0007708	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0008600	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0008601	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0008602	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0008603	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0008604	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0008605	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0008606	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0008607	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010000	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010001	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010002	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010010	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010011	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010012	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010014	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010015	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010016	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010019	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010020	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010021	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010022	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010023	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010024	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010025	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010026	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010027	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010028	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010029	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010030	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010031	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010032	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010033	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010034	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010035	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010036	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010037	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010038	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010039	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010040	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010041	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010042	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010043	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010044	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010045	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010047	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010066	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010067	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010068	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010069	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010070	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010071	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010072	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010073	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010074	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010075	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010076	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010078	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010079	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010080	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010081	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010084	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010085	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010086	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010087	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010088	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010089	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010090	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010091	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010092	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010093	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010094	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010097	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010098	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010099	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010100	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010101	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010102	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010103	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010104	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010105	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010106	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010107	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010108	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010109	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010113	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010114	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010115	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010116	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010117	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010118	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010119	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010120	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010121	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010122	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010123	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010124	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010125	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010126	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010127	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010128	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010129	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010131	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010132	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010133	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010134	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010135	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010136	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010138	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010139	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010140	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010141	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010142	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010143	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010144	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010147	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010148	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010149	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010150	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010151	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010152	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010153	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010154	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010155	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010156	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010157	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010158	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010159	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010160	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010161	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010162	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010163	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010164	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010165	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010166	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010167	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010168	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010169	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010170	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010171	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010172	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010173	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010174	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010175	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010180	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010181	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010182	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010185	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010188	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010189	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010191	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010192	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010193	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010194	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010195	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010197	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010198	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010199	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010200	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010201	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010202	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010203	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010241	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010242	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010244	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010245	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010246	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010247	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010248	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010249	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010250	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010251	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010257	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010258	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010259	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010260	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010261	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010262	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010263	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010265	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010267	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010268	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010270	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010271	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010272	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010277	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010278	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010279	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010280	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010281	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010282	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010283	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010284	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010285	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010286	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010287	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010288	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010289	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010291	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010292	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010293	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010296	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010343	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010344	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010345	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010346	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010347	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010348	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010349	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010350	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010351	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010352	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010353	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010354	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010355	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010356	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010373	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010374	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010375	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010376	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010377	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010378	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010379	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010380	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010381	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010382	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010383	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010384	IAO:0000115		
WARN	missing_definition	http://transformunify.org/ontologies/TURBO_0010385	IAO:0000115		
